"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Orlaya grandiflora","Orlaya grandiflora","Orlaya grandiflora (L.) Hoffm., 1814",111297,111297,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Orlaya grandiflora"
"Ornithogalum umbellatum gpe","Ornithogalum umbellatum","Ornithogalum divergens Boreau, 1847",111392,111334,"Angiospermes","Asparagales","Asparagaceae","Scilloideae","Ornithogaleae","Ornithogalum divergens"
"Ornithogalum umbellatum gpe","Ornithogalum umbellatum","Ornithogalum umbellatum L., 1753",111391,111391,"Angiospermes","Asparagales","Asparagaceae","Scilloideae","Ornithogaleae","Ornithogalum umbellatum"
"Ornithopus compressus","Ornithopus compressus","Ornithopus compressus L., 1753",111406,111406,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Ornithopus compressus"
"Ornithopus perpusillus","Ornithopus perpusillus","Ornithopus perpusillus L., 1753",111419,111419,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Ornithopus perpusillus"
"Ornithopus sativus","Ornithopus sativus","Ornithopus sativus Brot., 1804",111424,111424,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Ornithopus sativus"
"Orobanche minor","Orobanche minor","Orobanche minor Sm., 1797",111614,111614,"Angiospermes","Lamiales","Orobanchaceae","","Orobancheae","Orobanche minor"
"Orobanche minor","Orobanche minor","Orobanche minor Sm., 1797",161943,111614,"Angiospermes","Lamiales","Orobanchaceae","","Orobancheae","Orobanche minor"
"Oxalis corniculata","Oxalis corniculata","Oxalis corniculata L., 1753",111876,111876,"Angiospermes","Oxalidales","Oxalidaceae","","","Oxalis corniculata"
"Oxalis acetosella","Oxalis acetosella","Oxalis acetosella L., 1753",111859,111859,"Angiospermes","Oxalidales","Oxalidaceae","","","Oxalis acetosella"
"Oxalis fontana","Oxalis fontana","Oxalis stricta L., 1753",111886,111921,"Angiospermes","Oxalidales","Oxalidaceae","","","Oxalis stricta"
"Oxalis pes-caprae","Oxalis pes-caprae","Oxalis pes-caprae L., 1753",111910,111910,"Angiospermes","Oxalidales","Oxalidaceae","","","Oxalis pes-caprae"
"Pallenis spinosa","Pallenis spinosa","Pallenis spinosa (L.) Cass., 1825",112065,112065,"Angiospermes","Asterales","Asteraceae","Asteroideae","Inuleae","Pallenis spinosa"
"Panicum miliaceum","Panicum miliaceum","Panicum dichotomiflorum Michx., 1803",112196,112130,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Panicum dichotomiflorum"
"Panicum miliaceum","Panicum miliaceum","Panicum miliaceum L., 1753",112195,112195,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Panicum miliaceum"
"Papaver rhoeas","Papaver rhoeas","Papaver rhoeas L., 1753",112355,112355,"Angiospermes","Ranunculales","Papaveraceae","","","Papaver rhoeas"
"Papaver dubium","Papaver dubium","Papaver dubium L., 1753",112303,112303,"Angiospermes","Ranunculales","Papaveraceae","","","Papaver dubium"
"Parentucellia latifolia","Parentucellia latifolia","Parentucellia latifolia (L.) Caruel, 1885",112404,112404,"Angiospermes","Lamiales","Orobanchaceae","","Rhinantheae","Parentucellia latifolia"
"Parentucellia viscosa","Parentucellia viscosa","Parentucellia viscosa (L.) Caruel, 1885",112405,112405,"Angiospermes","Lamiales","Orobanchaceae","","Rhinantheae","Parentucellia viscosa"
"Parietaria judaica","Parietaria judaica","Parietaria judaica L., 1756",112410,112410,"Angiospermes","Rosales","Urticaceae","","Parietarieae","Parietaria judaica"
"Parthenocissus inserta","Parthenocissus inserta","Parthenocissus inserta (A.Kern.) Fritsch, 1922",112463,112463,"Angiospermes","Vitales","Vitaceae","Vitoideae","Parthenocisseae","Parthenocissus inserta"
"Paspalum dilatatum","Paspalum dilatatum","Paspalum dilatatum Poir., 1804",112482,112482,"Angiospermes","Poales","Poaceae","Panicoideae","Paspaleae","Paspalum dilatatum"
"Paspalum distichum","Paspalum distichum","Paspalum distichum L., 1759",112483,112483,"Angiospermes","Poales","Poaceae","Panicoideae","Paspaleae","Paspalum distichum"
"Paspalum distichum","Paspalum distichum","Paspalum vaginatum Sw., 1788",635414,112515,"Angiospermes","Poales","Poaceae","Panicoideae","Paspaleae","Paspalum vaginatum"
"Pastinaca sativa","Pastinaca sativa","Pastinaca sativa L., 1753",112550,112550,"Angiospermes","Apiales","Apiaceae","Apioideae","Tordylieae","Pastinaca sativa"
"Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia (L.) Delarbre, 1800",112741,112741,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Persicarieae","Persicaria lapathifolia"
"Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia (L.) Delarbre, 1800",112742,112741,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Persicarieae","Persicaria lapathifolia"
"Persicaria amphibia","Persicaria amphibia","Persicaria amphibia (L.) Gray, 1821",112727,112727,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Persicarieae","Persicaria amphibia"
"Persicaria amphibia","Persicaria amphibia","Persicaria amphibia (L.) Gray, 1821",112726,112727,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Persicarieae","Persicaria amphibia"
